mondo_id,mondo_curie,disease_label
MONDO_0008165,MONDO:0008165,southeast Asian ovalocytosis
MONDO_0009672,MONDO:0009672,"spinal muscular atrophy, type III"
MONDO_0010056,MONDO:0010056,"spinal muscular atrophy, type IV"
MONDO_0007738,MONDO:0007738,spondyloepiphyseal dysplasia with congenital joint dislocations
MONDO_0019353,MONDO:0019353,Stargardt disease
MONDO_0008501,MONDO:0008501,Sturge-Weber syndrome
MONDO_0011959,MONDO:0011959,sweet syndrome
MONDO_0008919,MONDO:0008919,systemic primary carnitine deficiency disease
MONDO_0010100,MONDO:0010100,Tay-Sachs disease
MONDO_0008555,MONDO:0008555,thrombocytopenia 2
MONDO_0014837,MONDO:0014837,thrombocytopenia 6
MONDO_0012868,MONDO:0012868,"thrombophilia due to protein S deficiency, autosomal dominant"
MONDO_0010131,MONDO:0010131,"thyroid hormone resistance, generalized, autosomal recessive"
MONDO_0010979,MONDO:0010979,Timothy syndrome
MONDO_0009383,MONDO:0009383,transient familial neonatal hyperbilirubinemia
MONDO_0008612,MONDO:0008612,tuberous sclerosis 1
MONDO_0013199,MONDO:0013199,tuberous sclerosis 2
MONDO_0019499,MONDO:0019499,Turner syndrome
MONDO_0004739,MONDO:0004739,urea cycle disorder
MONDO_0010168,MONDO:0010168,Usher syndrome type 1
MONDO_0007931,MONDO:0007931,vitelliform macular dystrophy 2
MONDO_0008667,MONDO:0008667,von Hippel-Lindau disease
MONDO_0010200,MONDO:0010200,Wilson disease
MONDO_0010518,MONDO:0010518,Wiskott-Aldrich syndrome
MONDO_0010264,MONDO:0010264,X-linked adrenal hypoplasia congenita
MONDO_0024551,MONDO:0024551,X-linked lymphoproliferative disease due to SH2D1A deficiency
MONDO_0019609,MONDO:0019609,Zellweger spectrum disorders
