rare_disease_name,oardkg_disease_id,prokn_disease_id,uniprot_accession,gene_symbols
oligodendroglioma,MONDO:0016695,OMIM:137800,P48735,IDH2
oligodendroglioma,MONDO:0016695,OMIM:137800,P68431,H3C7; H3C12; H3C10; H3C11; H3C2; H3C6; H3C8; H3C4; H3C1; H3C3
oligodendroglioma,MONDO:0016695,OMIM:137800,P84243,H3-3B; H3-3A
oligodendroglioma,MONDO:0016695,OMIM:137800,Q8N653,LZTR1
oligodendroglioma,MONDO:0016695,OMIM:137800,Q9UGM3,GP340; DMBT1
gestational trophoblastic disease,MONDO:0016784,OMIM:231090,Q8WX94,NLRP7
dopa-responsive dystonia,MONDO:0016812,OMIM:128230,P30793,GCH1
neuroacanthocytosis,MONDO:0016987,OMIM:200150,Q96RL7,VPS13A
Opitz G/BBB syndrome,MONDO:0017138,OMIM:145420,Q69YQ0,SPECC1L
frontotemporal dementia,MONDO:0017276,OMIM:600274,P10636,MAPT
frontotemporal dementia,MONDO:0017276,OMIM:600274,P49768,AD3; PS1; PSEN1; PSNL1
"Ehlers-Danlos syndrome, vascular type",MONDO:0017314,OMIM:130050,P02461,COL3A1
juvenile polyposis syndrome,MONDO:0017380,OMIM:174900,P36894,BMPR1A
juvenile polyposis syndrome,MONDO:0017380,OMIM:174900,Q13485,SMAD4
multiple pterygium syndrome,MONDO:0017415,OMIM:163950,Q06124,PTPN11
mitochondrial neurogastrointestinal encephalomyopathy,MONDO:0017575,OMIM:603041,P19971,TYMP
epidermolysis bullosa simplex,MONDO:0017610,OMIM:601001,P02533,KRT14
junctional epidermolysis bullosa,MONDO:0017612,OMIM:226650,Q13751,LAMB3
catecholaminergic polymorphic ventricular tachycardia,MONDO:0017990,OMIM:604772,Q92736,RYR2
congenital factor XIII deficiency,MONDO:0018029,OMIM:613225,P00488,F13A1
ataxia - telangiectasia variant,MONDO:0018266,OMIM:208900,Q13315,ATM
peripheral primitive neuroectodermal tumor,MONDO:0018271,OMIM:612219,P11308,ERG
peripheral primitive neuroectodermal tumor,MONDO:0018271,OMIM:612219,P50549,ETV1
peripheral primitive neuroectodermal tumor,MONDO:0018271,OMIM:612219,Q01543,FLI1
peripheral primitive neuroectodermal tumor,MONDO:0018271,OMIM:612219,Q01844,EWSR1
peripheral primitive neuroectodermal tumor,MONDO:0018271,OMIM:612219,Q92570,NR4A3
hyperlipoproteinemia type 3,MONDO:0018473,OMIM:617347,P02649,APOE
malignant hyperthermia of anesthesia,MONDO:0018493,OMIM:145600,P21817,RYR1
hypophosphatasia,MONDO:0018570,OMIM:241510,P05186,ALPL
Joubert syndrome,MONDO:0018772,OMIM:213300,Q9NRR6,INPP5E
metachromatic leukodystrophy,MONDO:0018868,OMIM:250100,P15289,ARSA
Li-Fraumeni syndrome,MONDO:0018875,OMIM:151623,P04637,TP53
McCune-Albright syndrome,MONDO:0018919,OMIM:174800,P63092,GNAS
